,name,team,date,location,opponent,minutes,made_two_point_field_goals,made_three_point_field_goals,made_free_throws,rebounds,assists,blocks,steals,turnovers,recent_average,10_game_average,3_game_average,10_3_ratio,10_3_difference,hot,cold,fantasy_points,fantasy_points_8_9,projected_points,projected_points_draftkings,projected_value,projected_value_draftkings
4994,Nicolò Melli,NEW ORLEANS PELICANS,2020-07-30,AWAY,UTAH JAZZ,20.3,1.21,1.01,0.0,5.18,0.03,0.56,0.69,1.56,22.96,21.95,23.8,0.9254032258064515,-1.8500000000000014,0.0,0.0,0,14.81112268979632,13.9,14.19,2780,2366
4995,Jaxson Hayes,NEW ORLEANS PELICANS,2020-07-30,AWAY,UTAH JAZZ,19.08,1.53,0.0,0.8,3.52,0.0,0.82,0.28,1.53,8.41,8.38,6.23,1.297372060857538,2.1500000000000004,0.0,0.0,0,6.293406086962861,9.85,9.7,1971,1616
4996,J.J. Redick,NEW ORLEANS PELICANS,2020-07-30,AWAY,UTAH JAZZ,23.01,1.63,1.21,1.71,3.14,0.98,0.13,0.61,1.3,17.6,18.61,10.3,1.7353982300884954,8.309999999999999,0.0,2.018907734323713,0,15.781735867218089,14.76,15.43,2952,2572
4997,Johnathan Motley,LOS ANGELES CLIPPERS,2020-07-30,AWAY,LOS ANGELES LAKERS,16.95,1.96,0.0,0.0,2.31,0.0,0.76,0.27,0.66,4.95,4.76,4.2,1.1076923076923075,0.5599999999999996,0.0,0.0,0,8.879337840829152,9.12,8.54,1824,1423
4998,Tony Bradley,UTAH JAZZ,2020-07-30,AWAY,NEW ORLEANS PELICANS,17.97,0.68,0.98,0.0,1.61,0.0,0.96,0.0,0.96,12.33,10.16,13.13,0.7898089171974522,-2.9700000000000006,0.0,0.0,0,4.552573038702761,8.15,8.24,1630,1374
4999,Frank Jackson,NEW ORLEANS PELICANS,2020-07-30,AWAY,UTAH JAZZ,19.85,1.61,0.0,0.3,2.68,0.0,0.53,0.41,1.43,7.51,7.12,3.63,1.7537796976241904,3.49,0.0,0.0,0,7.041375380822373,8.13,8.04,1625,1339
5000,Jahlil Okafor,NEW ORLEANS PELICANS,2020-07-30,AWAY,UTAH JAZZ,15.18,2.03,0.0,0.15,3.58,0.0,0.69,0.0,1.22,13.07,13.94,6.57,1.9735799207397622,7.369999999999999,0.0,1.7208543629609316,0,7.559506044229906,9.36,9.45,1871,1576
5001,Nickeil Alexander-Walker,NEW ORLEANS PELICANS,2020-07-30,AWAY,UTAH JAZZ,18.67,1.07,0.0,0.0,3.2,0.0,0.76,0.45,1.42,3.24,6.84,1.53,3.0988142292490113,5.31,0.0,0.0,0,7.1688792103636985,8.19,7.85,1638,1308
5002,Mfiondu Kabengele,LOS ANGELES CLIPPERS,2020-07-30,AWAY,LOS ANGELES LAKERS,22.61,0.74,1.28,1.36,1.93,0.75,0.4,1.01,0.67,11.51,11.55,11.55,1.0,0.0,0.0,0.0,0,15.567578695095222,13.68,13.34,2736,2224
5003,Amir Coffey,LOS ANGELES CLIPPERS,2020-07-30,AWAY,LOS ANGELES LAKERS,16.79,2.05,0.0,0.0,2.1,0.36,0.7,0.34,0.64,5.5,6.21,4.6,1.2875,1.6100000000000003,0.0,0.0,0,10.524000969963879,9.64,9.02,1928,1504
5004,Marcus Morris,LOS ANGELES CLIPPERS,2020-07-30,AWAY,LOS ANGELES LAKERS,21.02,3.16,0.75,1.34,2.71,1.43,0.4,1.01,0.95,22.41,24.61,24.0,1.0244,0.6099999999999994,0.0,0.0,0,21.65646389980148,18.59,18.16,3717,3027
5005,Justin Wright-Foreman,UTAH JAZZ,2020-07-30,AWAY,NEW ORLEANS PELICANS,20.62,0.56,0.0,0.0,0.0,0.0,0.75,0.26,0.54,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,-0.5481500260724061,3.61,2.87,722,478
5006,Reggie Jackson,LOS ANGELES CLIPPERS,2020-07-30,AWAY,LOS ANGELES LAKERS,24.66,2.35,0.54,0.01,2.24,4.12,0.42,0.78,1.5,23.4,25.57,22.87,1.113112693757855,2.6999999999999993,0.0,0.0,0,18.84036755710102,17.3,17.23,3460,2872
5007,Markieff Morris,LOS ANGELES LAKERS,2020-07-30,AWAY,LOS ANGELES CLIPPERS,19.22,0.73,0.63,0.3,1.51,0.35,0.57,0.46,0.59,16.61,18.02,16.2,1.1058139534883722,1.8200000000000003,0.0,0.0,0,9.657356753224988,8.49,8.14,1697,1357
5008,Miye Oni,UTAH JAZZ,2020-07-30,AWAY,NEW ORLEANS PELICANS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,-89.50291170665136,0.0,0.0,0,0
