,Name,Position,Game,Team,Projected Fanduel Points,Projected Fanduel Value,Fanduel Salary,Value above Fanduel Value,Projected Draftkings Points,Projected Draftkings Value,FPPG (Fanduel),10 Game Average (Fanduel),3 Game Average (Fanduel),Opponent Defensive Rank vs Position,Injury Indicator,Injury Details,Hot,Cold
171,Grant Williams,PF,UTA@BOS,BOS,12.2,2441,3500,-$1059,12.22,2292,11.51,15.05,19.2,1.0, , ,0.0,0.0
172,Romeo Langford,SG,UTA@BOS,BOS,2.42,485,3500,-$3015,2.45,460,5.77,5.05,1.4,6.0,O,Covid-19,0.0,0.0
173,Matisse Thybulle,SF,NY@PHI,PHI,14.22,2844,3500,-$656,14.33,2686,14.11,15.21,19.1,5.0, , ,0.0,0.0
174,Kostas Antetokounmpo,PF,MIN@LAL,LAL,4.81,963,3500,-$2537,4.8,900,5.53,4.53,5.53,20.0,O,Covid-19,0.0,0.0
175,Daniel Gafford,PF,OKC@CHI,CHI,11.68,2336,3500,-$1164,11.2,2100,13.57,15.32,14.23,21.0, , ,0.0,0.0
176,Miye Oni,SG,UTA@BOS,UTA,1.9,381,3500,-$3119,1.93,361,4.6,3.78,1.8,23.0, , ,0.0,0.0
177,Bruno Fernando,PF,ATL@HOU,ATL,3.94,788,3500,-$2712,3.9,732,5.73,5.26,6.4,18.0, , ,0.0,0.0
178,Jarrett Culver,SF,MIN@LAL,MIN,9.77,1953,3500,-$1547,9.88,1852,15.95,12.89,8.17,9.0,O,Toe,0.0,0.0
179,Carsen Edwards,PG,UTA@BOS,BOS,4.5,900,3500,-$2600,4.54,852,8.87,8.52,11.0,6.0, , ,0.0,0.0
180,Ignas Brazdeikis,SF,NY@PHI,NY,1.4,281,3500,-$3219,1.4,262,1.23,2.62,1.23,11.0, , ,0.0,0.0
181,Dylan Windler,SG,CLE@MIA,CLE,15.36,3071,3500,-$429,15.09,2829,15.53,16.3,15.2,16.5, , ,0.0,0.0
182,Nassir Little,SF,NO@POR,POR,9.94,1987,3500,-$1513,10.3,1932,9.56,11.94,11.3,21.0, , ,0.0,0.0
183,Taj Gibson,PF,NY@PHI,NY,8.31,1663,3500,-$1837,7.92,1485,12.61,14.75,14.37,1.0, , ,0.0,0.0
184,Dante Exum,PG,ATL@HOU,HOU,4.75,949,3500,-$2551,4.63,868,12.32,8.83,9.03,15.0,O,Calf,0.0,0.0
185,Kentavious Caldwell-Pope,SG,MIN@LAL,LAL,13.36,2672,3500,-$828,13.58,2546,16.11,14.37,16.07,25.0, , ,0.0,0.0
186,Nickeil Alexander-Walker,SG,NO@POR,NO,8.7,1741,3500,-$1759,9.01,1689,16.83,15.85,25.67,21.0, , ,1.840545550566172,0.0
187,Justin Jackson,SF,OKC@CHI,OKC,14.38,2877,3500,-$623,15.04,2821,12.0,16.76,7.8,23.0, , ,0.0,2.690883079625749
188,Vincent Poirier,C,NY@PHI,PHI,4.98,995,3500,-$2505,4.85,910,3.02,4.72,2.37,11.0, , ,0.0,0.0
189,Adam Mokoka,SG,OKC@CHI,CHI,2.1,420,3500,-$3080,2.17,407,4.11,3.12,4.8,11.0, , ,0.0,0.0
190,Maurice Harkless,SF,CLE@MIA,MIA,4.6,921,3500,-$2579,4.61,865,5.1,5.61,6.07,10.0, , ,0.0,0.0
191,Meyers Leonard,C,CLE@MIA,MIA,9.19,1838,3500,-$1662,9.3,1744,6.47,10.08,6.47,25.0,O,Shoulder,0.0,0.0
192,Kenrich Williams,SF,OKC@CHI,OKC,19.06,3812,3500,$312,19.73,3700,15.69,23.13,14.73,23.0, , ,0.0,1.6441005984040844
193,Brodric Thomas,SG,CLE@MIA,CLE,2.94,589,3500,-$2911,2.91,546,5.5,5.4,5.13, , , ,0.0,0.0
