,Name,Position,Game,Team,Minutes,2PT FG,3PT FG,FTM,Rebounds,Assists,Blocks,Steals,Turnovers,Opponent Defensive Rank vs Position,Injury Indicator,Injury Details
211,Daniel Oturu,C,LAC@HOU,LAC,5.71,0.25,0.09,0.27,0.37,0.33,0.01,0.04,0.12,15.5, , 
212,Zach Collins,PF,MEM@POR,POR,11.38,1.0,0.3,0.12,2.5,0.35,0.18,0.35,0.54,24.0,O,Ankle
213,Harry Giles,PF,MEM@POR,POR,10.7,0.43,0.22,0.23,1.34,0.17,0.11,0.22,0.33,24.0, , 
214,D.J. Wilson,PF,LAC@HOU,HOU,9.7,0.18,0.01,0.1,0.79,0.0,0.17,0.09,0.13,3.0, , 
215,Aaron Nesmith,SG,BOS@BKN,BOS,6.46,0.26,0.18,0.19,0.47,0.21,0.02,0.14,0.1,15.5, , 
216,Reggie Perry,PF,BOS@BKN,BKN,7.49,0.52,0.06,0.23,1.12,0.37,0.09,0.09,0.22,15.5,GTD,Covid-19
217,James Wiseman,C,DEN@GS,GS,13.44,2.16,0.12,0.54,3.43,0.52,0.28,0.26,0.84,15.5,O,Knee
218,Nico Mannion,PG,DEN@GS,GS,6.05,0.36,0.17,0.25,0.66,0.7,0.1,0.23,0.43,15.5, , 
219,Alex Len,C,WAS@OKC,WAS,15.15,2.04,0.01,0.55,3.72,0.45,0.56,0.35,0.81,20.0, , 
220,Cassius Winston,PG,WAS@OKC,WAS,3.19,0.03,0.06,0.09,0.15,0.09,0.03,0.05,0.07,15.5, , 
221,Markus Howard,PG,DEN@GS,DEN,5.94,0.13,0.08,0.05,0.39,0.29,0.04,0.02,0.09,15.5, , 
222,Sean McDermott,SF,MEM@POR,MEM,4.49,0.14,0.03,0.06,0.36,0.06,0.06,0.02,0.07,15.5, , 
223,Lamar Stevens,PF,CLE@CHA,CLE,5.46,0.24,0.08,0.26,0.47,0.08,0.0,0.11,0.11,15.5, , 
224,Mike Muscala,C,WAS@OKC,OKC,11.73,1.16,0.93,0.86,2.3,0.73,0.09,0.34,0.47,28.0,O,Ankle
